Test Date,Load Type,Source Table Name,Target Table Name,Source Count,Target Count,Verdict
2017-05-11,Incremental,AttributeDim,AttributeDim_CHCO_CDW_20170103110919114_20161216044307317_20170103110919114,1,1,Pass
2017-05-11,Incremental,DiagnosisDim,DiagnosisDim_CHCO_CDW_20170103110939317_20161005032428353_20170103110939317,0,0,Pass
2017-05-11,Incremental,DiagnosisTerminologyDim,DiagnosisTerminologyDim_CHCO_CDW_20170103110951458_20161221032648020_20170103110951458,414,414,Pass
2017-05-11,Incremental,DiagnosisSetDim,DiagnosisSetDim_CHCO_CDW_20170103111009364_20161213030323203_20170103111009364,0,0,Pass
2017-05-11,Incremental,DepartmentDim,DepartmentDim_CHCO_CDW_20170103111023067_20161216030244387_20170103111023067,3,3,Pass
2017-05-11,Incremental,ProcedureDim,ProcedureDim_CHCO_CDW_20170103111041817_20161222030253627_20170103111041817,489,489,Pass
2017-05-11,Incremental,ProcedureTerminologyDim,ProcedureTerminologyDim_CHCO_CDW_20170103141503510_20161225030217210_20170103141503510,13,13,Pass
2017-05-11,Incremental,EncounterAttributeValueDim,EncounterAttributeValueDim_CHCO_CDW_20170104072425833_20161226043234500_20170104072425833,45890,45890,Pass
2017-05-11,Incremental,EdVisitAttributeValueDim,EdVisitAttributeValueDim_CHCO_CDW_20170104072327224_20161228044035620_20170104072327224,7415,7415,Pass
2017-05-11,Incremental,MedicationDim,MedicationDim_CHCO_CDW_20170104072349036_20161224030716640_20170104072349036,5,5,Pass
2017-05-11,Incremental,MedicationCodeDim,MedicationCodeDim_CHCO_CDW_20170104072400489_20161224051344400_20170104072400489,4,4,Pass
2017-05-11,Incremental,MedicationSetDim,MedicationSetDim_CHCO_CDW_20170104072415099_20161223045909560_20170104072415099,1,1,Pass
2017-05-11,Incremental,DiagnosisTerminologyDim,DiagnosisTerminologyDim_CHCO_CDW_20170109141720130_20161207041700533_20170109141720130,1294,1294,Pass
2017-05-11,Incremental,DiagnosisSetDim,DiagnosisSetDim_CHCO_CDW_20170109141741474_20161003094338500_20170109141741474,13784879,13784879,Pass
2017-05-11,Incremental,DepartmentDim,DepartmentDim_CHCO_CDW_20170109145312053_20161130043851947_20170109145312053,9,9,Pass
