Build,Date,Notes,TestCase,Verdict
22.2,6/2/2017,"Full Load:
Row counts are equal between AddressDim and AddressDim_CHCO_CDW_20170517103649796_19000101000000000_20170517103649796 tables.

AddressDim: 1234378
AddressDim_CHCO_CDW_20170517103649796_19000101000000000_20170517103649796: 1234378",Rowcount validation of CHCO source and GBQ target AddressDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AdmissionProfileDim and AdmissionProfileDim_CHCO_CDW_20170517103726296_19000101000000000_20170517103726296 tables.

AdmissionProfileDim: 157
AdmissionProfileDim_CHCO_CDW_20170517103726296_19000101000000000_20170517103726296: 157",Rowcount validation of CHCO source and GBQ target AdmissionProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AllergenDim and AllergenDim_CHCO_CDW_20170517103731546_19000101000000000_20170517103731546 tables.

AllergenDim: 50191
AllergenDim_CHCO_CDW_20170517103731546_19000101000000000_20170517103731546: 50191",Rowcount validation of CHCO source and GBQ target AllergenDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AllergyFact and AllergyFact_CHCO_CDW_20170517103743265_19000101000000000_20170517103743265 tables.

AllergyFact: 989666
AllergyFact_CHCO_CDW_20170517103743265_19000101000000000_20170517103743265: 989666",Rowcount validation of CHCO source and GBQ target AllergyFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AllergyProfileDim and AllergyProfileDim_CHCO_CDW_20170517104108374_19000101000000000_20170517104108374 tables.

AllergyProfileDim: 29
AllergyProfileDim_CHCO_CDW_20170517104108374_19000101000000000_20170517104108374: 29",Rowcount validation of CHCO source and GBQ target AllergyProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AppointmentProfileDim and AppointmentProfileDim_CHCO_CDW_20170517104112312_19000101000000000_20170517104112312 tables.

AppointmentProfileDim: 273
AppointmentProfileDim_CHCO_CDW_20170517104112312_19000101000000000_20170517104112312: 273",Rowcount validation of CHCO source and GBQ target AppointmentProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AttendingProviderFact and AttendingProviderFact_CHCO_CDW_20170517104115952_19000101000000000_20170517104115952 tables.

AttendingProviderFact: 2046447
AttendingProviderFact_CHCO_CDW_20170517104115952_19000101000000000_20170517104115952: 2046447",Rowcount validation of CHCO source and GBQ target AttendingProviderFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between AttributeDim and AttributeDim_CHCO_CDW_20170517104925531_19000101000000000_20170517104925531 tables.

AttributeDim: 366855
AttributeDim_CHCO_CDW_20170517104925531_19000101000000000_20170517104925531: 366855",Rowcount validation of CHCO source and GBQ target AttributeDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingAccountEncounterMappingFact and BillingAccountEncounterMappingFact_CHCO_CDW_20170517105038999_19000101000000000_20170517105038999 tables.

BillingAccountEncounterMappingFact: 12296962
BillingAccountEncounterMappingFact_CHCO_CDW_20170517105038999_19000101000000000_20170517105038999: 12296962",Rowcount validation of CHCO source and GBQ target BillingAccountEncounterMappingFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingAccountFact and BillingAccountFact_CHCO_CDW_20170517112700907_19000101000000000_20170517112700907 tables.

BillingAccountFact: 8404033
BillingAccountFact_CHCO_CDW_20170517112700907_19000101000000000_20170517112700907: 8404033",Rowcount validation of CHCO source and GBQ target BillingAccountFact table,Pass
